"ID","predicted_quality"
5464,5.8322789684175
5465,5.80873031123227
5466,5.27357347261336
5467,5.84945477320475
5468,5.41459039411062
5469,5.69182536917777
5470,6.53823253042409
5471,6.14234731830614
5472,6.13567294293276
5473,5.95612387646867
5474,5.85422871057946
5475,6.46052950255932
5476,5.29167441385473
5477,6.42679890496903
5478,5.47747314357254
5479,5.78115739587143
5480,5.786298162849
5481,5.87193132130976
5482,5.4704705093404
5483,6.05558750757168
5484,5.95650087726041
5485,5.38649789073087
5486,5.42120005451592
5487,5.40135629606934
5488,5.31898539163266
5489,5.54501929326076
5490,5.95862961048061
5491,5.91543243686642
5492,5.75104138054566
5493,5.61658602472072
5494,6.75031242832313
5495,6.06286988357654
5496,6.04546373471426
5497,5.7875825506235
5498,5.38516796779887
5499,6.45029496895378
5500,5.49527906624149
5501,6.10248110599825
5502,5.6505757170159
5503,5.58789346329424
5504,5.70338817338467
5505,5.01025679720311
5506,5.61874003881224
5507,5.72297453127268
5508,5.6834693859555
5509,6.11980523475163
5510,6.05415219970502
5511,6.64409828646996
5512,5.29710188781737
5513,6.30739198007562
5514,5.90372250852952
5515,6.11927248814983
5516,5.85735376098536
5517,6.2222289809752
5518,6.14312857210069
5519,4.86985577330767
5520,5.713911947008
5521,5.93320874908524
5522,5.51656776138242
5523,6.21248165591174
5524,5.50466089861785
5525,5.47440574839049
5526,6.14513470906985
5527,6.3547673664832
5528,5.55192017555576
5529,6.5266893327527
5530,5.65186963222771
5531,5.28174281966642
5532,6.66049674468293
5533,5.30004467525013
5534,5.52116128673286
5535,6.40136419080164
5536,5.06770416139929
5537,5.38875940021039
5538,5.67535714278057
5539,6.44859893499711
5540,6.03385454329806
5541,6.35445749959159
5542,6.75945926906117
5543,5.58261117765886
5544,6.74139177528338
5545,6.12936862339568
5546,5.786298162849
5547,5.50912625553827
5548,5.97948103934746
5549,4.83056972028795
5550,6.1913778548779
5551,6.10963867813935
5552,5.61365456321647
5553,6.26694989432107
5554,6.10956397683941
5555,4.92594069039508
5556,5.1819114658623
